Date,Open,High,Low,Close,AdjClose,Volume
2022-12-21,81.349998,82.139999,80.940002,81.500000,80.280411,5932400
2022-12-22,80.940002,81.169998,79.430000,80.489998,79.285522,8181400
2022-12-23,80.510002,80.900002,79.989998,80.849998,79.640137,4129100
2022-12-27,80.879997,81.470001,80.610001,80.980003,79.768188,4290700
2022-12-28,81.089996,81.639999,80.190002,80.330002,79.127922,3794000
2022-12-29,80.970001,81.800003,80.699997,81.400002,80.181908,3867800
2022-12-30,81.129997,81.930000,80.760002,81.739998,80.516815,5375700
2023-01-03,82.470001,83.839996,82.260002,83.720001,82.467186,8997500
2023-01-04,84.199997,85.169998,83.639999,84.480003,83.215813,7836200
2023-01-05,85.000000,85.400002,83.220001,84.309998,83.048355,7643800
2023-01-06,84.739998,86.339996,83.820000,85.660004,84.378159,8641600
2023-01-09,86.839996,87.589996,86.160004,86.419998,85.445984,7519700
2023-01-10,85.639999,86.610001,85.570000,86.500000,85.525085,5703300
2023-01-11,87.370003,88.660004,87.089996,88.599998,87.601410,8359700
2023-01-12,88.699997,89.199997,88.169998,88.779999,87.779381,6071100
2023-01-13,87.949997,89.470001,87.660004,89.199997,88.194656,5090800
2023-01-17,89.190002,89.440002,88.430000,88.599998,87.601410,6550400
2023-01-18,88.599998,88.629997,86.599998,86.709999,85.732719,6397700
2023-01-19,86.400002,86.989998,85.260002,85.940002,84.971397,5597000
2023-01-20,86.029999,87.379997,85.500000,87.250000,86.266632,5567300
2023-01-23,87.190002,89.129997,86.970001,88.970001,87.967247,7390200
2023-01-24,89.050003,90.099998,88.000000,89.699997,88.689018,7004600
2023-01-25,88.699997,89.860001,87.739998,89.639999,88.629692,5896800
2023-01-26,89.889999,90.489998,89.089996,89.830002,88.817551,7302800
2023-01-27,89.500000,89.720001,88.959999,88.989998,87.987015,5676800
2023-01-30,88.470001,88.620003,86.989998,87.349998,86.365501,6255300
2023-01-31,87.690002,88.480003,87.349998,88.459999,87.462990,6200400
2023-02-01,88.370003,90.650002,88.209999,90.050003,89.035072,6141300
2023-02-02,90.660004,91.220001,88.949997,89.379997,88.372620,8269200
2023-02-03,88.470001,90.260002,88.269997,89.620003,88.609924,5671800
2023-02-06,89.510002,89.610001,88.400002,88.529999,87.532204,4097200
2023-02-07,87.870003,88.019997,86.300003,87.739998,86.751106,9226000
2023-02-08,86.930000,87.919998,86.510002,86.690002,85.712936,7624400
2023-02-09,87.139999,87.900002,86.330002,86.650002,85.673393,4960300
2023-02-10,86.529999,87.379997,86.339996,87.139999,86.157875,5318400
2023-02-13,87.279999,89.449997,87.199997,89.419998,88.412170,5560900
2023-02-14,89.000000,89.410004,87.709999,89.089996,88.085892,7484800
2023-02-15,88.849998,89.209999,88.029999,88.339996,87.344345,4329900
2023-02-16,87.459999,88.269997,87.010002,87.720001,86.731331,5942500
2023-02-17,87.199997,87.430000,86.510002,87.279999,86.296288,6398400
2023-02-21,86.760002,86.940002,86.150002,86.199997,85.228455,5260300
2023-02-22,86.680000,87.180000,85.980003,86.320000,85.347115,5840100
2023-02-23,87.150002,89.480003,87.059998,88.580002,87.581642,8637100
2023-02-24,87.309998,88.889999,87.139999,88.660004,87.660744,7659200
2023-02-27,88.860001,88.970001,87.360001,87.959999,86.968628,6748800
2023-02-28,87.699997,88.010002,87.180000,87.400002,86.414940,7468000
2023-03-01,86.900002,87.209999,85.989998,86.339996,85.366890,5119800
2023-03-02,86.059998,87.279999,85.870003,86.970001,85.989784,5293600
2023-03-03,87.320000,89.290001,87.080002,89.250000,88.244087,5498500
2023-03-06,89.410004,90.669998,89.150002,89.739998,88.728561,7424800
2023-03-07,89.580002,90.080002,88.050003,88.360001,87.364120,5382400
2023-03-08,88.400002,89.089996,88.150002,88.489998,87.492653,5159200
